Product Type;Segment;Manufacturer;Product Family;Model / Part Number (Product Code);Domestic Content Evidence Type;Source Doc URL;Notes;;;;;;;;;;;;;;;;;;
Inverter (string);Residential;SolarEdge;Home Hub (single-phase);SE3800H-US;Manufacturer datasheet (“USA-manufactured”, domestic-content eligible language);(knowledge-center.solaredge.com);"Residential string inverter; store the SolarEdge datasheet + any project letter.";;;;;;;;;;;;;;;;;;
Inverter (string);Residential;SolarEdge;Home Hub (single-phase);SE5700H-US;Manufacturer datasheet;(knowledge-center.solaredge.com);Same datasheet lists multiple power classes.;;;;;;;;;;;;;;;;;;
Inverter (string);Residential;SolarEdge;Home Hub (single-phase);SE7600H-US;Manufacturer datasheet;(knowledge-center.solaredge.com);;;;;;;;;;;;;;;;;;;
Inverter (string);Residential;SolarEdge;Home Hub (single-phase);SE9600H-US;Manufacturer datasheet;(knowledge-center.solaredge.com);;;;;;;;;;;;;;;;;;;
Inverter (string);Residential;SolarEdge;Home Hub (single-phase);SE10000H-US;Manufacturer datasheet;(knowledge-center.solaredge.com);;;;;;;;;;;;;;;;;;;
Inverter (string);Residential;SolarEdge;Home Hub (single-phase);SE11400H-US;Manufacturer datasheet;(knowledge-center.solaredge.com);;;;;;;;;;;;;;;;;;;
Microinverter (MLPE);Residential;Enphase;IQ8 Series (DOM SKUs);IQ8HC-72-M-DOM-US;Distribution SKU explicitly labeled DOM / domestic content;(Solar Electric);“DOM-US” suffix is the key normalization flag to store.;;;;;;;;;;;;;;;;;;
Microinverter (MLPE);C&I;Enphase;IQ8 Series (3-phase DOM);IQ8P-3P-72-E-DOM-US;Distribution SKU explicitly labeled DOM / domestic content;(US Solar Supplier);Useful for small C&I / 3-phase rooftops.;;;;;;;;;;;;;;;;;;
PV Module;Residential;Qcells;Q.TRON (DCA variant);Q.TRON BLK M-G2.H+ 430 DCA;Distribution SKU explicitly labeled DCA + domestic content language;(solar-store-us.baywa-re.com);BayWa listing calls out “domestic components” and domestic content bonus positioning.;;;;;;;;;;;;;;;;;;
PV Module;Residential / C&I;Qcells;Q.TRON AC (DCA);Q.TRON BLK M-G2.H1+/AC 430 (DCA);Distribution SKU explicitly labeled DCA + domestic content language;(solar-store-us.baywa-re.com);"AC module DCA; store both datasheet + install manual from the listing page.";;;;;;;;;;;;;;;;;;
PV Module;Utility;First Solar;Series 6 Plus;FS-6460A-P;U.S.-market product listing with manufacturer part number;(Sunhub);This row needs a manufacturer domestic content / origin letter for audit, but the model code is unambiguous.;;;;;;;;;;;;;;;;;;
PV Module;Utility / C&I;SEG Solar;Yukon N Series;SEG-595-BTA-BG;Manufacturer datasheet naming series and model family;(segsolar.id);Store SEG datasheet + OEM domestic content letter for the specific shipment.;;;;;;;;;;;;;;;;;;
Battery / ESS;Residential;Enphase;IQ Battery 5P (DOM SKU);IQBATTERY-5P-1P-NA-DOM;Distribution SKU explicitly labeled DOM / domestic content;(solar-store-us.baywa-re.com);Normalize on the “-DOM” suffix for domestic-content variant.;;;;;;;;;;;;;;;;;;
Battery / ESS;Residential;Tesla;Powerwall 3 (Domestic Content model);TSL-PWRW3-DOM (Tesla part #: 1707000-21-x);Distributor “Domestic Content Model” SKU + Tesla part number reference;(solar-store-us.baywa-re.com);Store distributor domestic-content datasheet + Tesla product datasheet for model numbering. (energylibrary.tesla.com);;;;;;;;;;;;;;;;;;
Battery / ESS;Utility;Fluence;“Fluence Pack” architecture;"(platform-level; project-configured)";Manufacturer statement describing architecture “enables domestic content”;(Fluence);Fluence tends to be project-configured, so you’ll store project letter/BOM rather than public SKUs.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
If you want a programmatic way to validate a model is actually present in the U.S. interconnection/incentive ecosystem, the California Energy Commission lists provide downloadable tables for:;;;;;;;;;;;;;;;;;;;;;;;;;
