EntityCode,ProdMfr_Value__cleaned,ProdMfr_Value__cec
DISCE,Discover Energy Corp.,Discover Energy Corp.
NRGZR,Energizer Solar,Energizer Solar
GZMTP,GuangZhou MeriTech Power Co Ltd,GuangZhou MeriTech Power Co Ltd      
LUNNA,Lunna,Lunna
MANGO,MANGO POWER TECH INC.,MANGO POWER TECH INC.
SZGSLE,"Shenzhen GSL Energy Co., Ltd.","Shenzhen GSL Energy Co., Ltd."
ASWEM,"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd","Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd"
DUCAL,DuCal Solar Technology LLC,DuCal Solar Technology LLC
EMMVEE,EMMVEE Photovoltaic Power Private Ltd.,EMMVEE Photovoltaic Power Private Limited
GOLDIS,Goldi Solar Private Limited,GOLDI SUN PRIVATE LIMITED
GREENL,Greenlite Solar Canada,Greenlite Solar Canada
GSTAR,G-Star Pte Ltd,G-Star Pte Ltd
HMGE,"HD HYUNDAI ENERGY SOLUTIONS CO., LTD.","HD HYUNDAI ENERGY SOLUTIONS CO., LTD."
HELIEN,Heliene,Heliene
JLYW,JOLYWOOD (TAIZHOU) SOLAR TECHNOLOGY CO LTD,JOLYWOOD (TAIZHOU) SOLAR TECHNOLOGY CO LTD
LNRG,LENERGY POWER INC,LENERGY POWER INC
LHE,"LIGHT&HOPE ENERGY CO.,LTD.","LIGHT&HOPE ENERGY CO.,LTD."
MAXEON,Maxeon Solar Technologies Ltd.,Maxeon Solar Technologies Ltd.
MUNDRA,Mundra Solar Energy Limited,Mundra Solar Energy Limited (Adani)
NUKO,Nuuko Solar GmbH,Nuuko Solar GmbH
PRISM,"Prism Solar Technologies, Inc.","Prism Solar Technologies, Inc."
NUSA,PT. NUSA SOLAR INDONESIA,PT. NUSA SOLAR INDONESIA
SOHOM,Solarhome Tech Inc.,Solarhome Tech Inc.
SLRTE,Solartech Energy,Solartech Energy
SNGN,Sungen Power LLC,Sungen Power LLC
SUNNI,Sunny International Power,Sunny International Power
SAKOP,"Suzhou Akcome Optronics Science & Technology Co., Ltd","Suzhou Akcome Optronics Science & Technology Co., Ltd"
TATA,Tata Power Renewables,Tata Power Renewables
WXSP,"Wuxi Suntech Power Co., Ltd","Wuxi Suntech Power Co., Ltd"
YINLE,Yingli Energy (China),Yingli Energy Development Co Ltd
CHINT,Chint Power,Chint Power Systems America
DISCE,Discover Energy Corp.,Discover Energy Systems Corp.
HOY,Hoymiles Converter Technology,Hoymiles Power Electronics Inc.
PWRC,Power Center,Power Center
PYLN,"PYLON TECHNOLOGIES CO.,LTD","PYLON TECHNOLOGIES CO.,LTD"
ARSD,Anhui Rinengzhongtian Semiconductor Development,Anhui Rinengzhongtian Semiconductor Development
AXITEC,AXITEC,AXITEC
CHLSE,Chinaland Solar Energy,Chinaland Solar Energy
CROSS,Crossroads Solar,Crossroads Solar
HALEE,"HALEE, Inc","HALEE, Inc"
HANWH,Hanwha Q-Cells,Hanwha Qcells (Qidong) Co. Ltd.
