ProdMfr_Value,EntityCode
ABB,ABB
Ablytek,ABLYT
Anji Dasol Solar Energy Science & Technology,ADSEST
Adesto Technologies,ADTE
Advance Power,ADVP
AEG SOLAR ENERGY SRL,AEG
AE Solar GmbH,AESL
"Alpha ESS Co., Ltd.",AESS
Afore Energy,AFOR
AIMS Power,AIMS
Aiswei Tech,AISW
Allesun Industries Inc.,ALLSN
Alps Technology,ALPST
Altenergy Power System Inc.,ALTE
AltGrid Power LLC,ALTG
"ALTERNATIVE ENERGY (AE) SOLAR CO., LTD.",ALTRE
Alexus Solar,ALXUS
Amber Kinetics,AMKI
Ampion,AMPIO
AMPS Solar,AMPS
"Ampt, LLC",AMPT
Andalay Solar,ANDAS
Anji Technology,ANJIT
Anker Innovations Limited,ANKR
Apollo Renewables Inc,APLO
APOS Energy,APOSE
Apparent,APPAR
Applied Materials,APPM
Aptos Solar Technology LLC,APTOS
APsystems,APTY
Arka Energy Inc,ARKA
ARK Battery LLC,ARKB
ARM Ltd,ARM
Array Technologies Inc,ARRY
Anhui Rinengzhongtian Semiconductor Development,ARSD
"Anhui Rinengzhongtian Semiconductor Development Co., Ltd",ARSD
Advanced Solar Power (Hangzhou),ASPHZ
ASTORIOS Holding Inc.,ASTRS
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",ASWEM
ATI-Watt,ATIW
Alectris,ATRIS
AUO Corporation,AUOC
AU Optronics,AUOPT
Aurora Solar Inc,AUSO
Auxin Solar,AUXIS
AXITEC,AXITEC
BAE Batteries USA,BAEBT
Bloom Energy Corporation,BE
"Briggs & Stratton, LLC",BGST
"Bila Solar, Inc.",BILA
Belinus Solar BV,BLNS
Blu Banyan,BLUB
"Bluesun Solar Co.,Ltd",BLUSS
"Bluesun Solar Energy Tech. Co.,Ltd",BLUSS
"BPL Global , Ltd.",BPLG
BPS Asset Management,BPSA
BRC Solar,BRCS
Bright Spot Solar LLC,BRGHT
"BSL New Energy Technology Co., Ltd.",BSLE
"Boviet Solar Technology Co., Ltd.",BVST
BYD Auto Industry Company Limited,BYDAI
BYD Company Limited,BYDCL
Byucksan Corporation,BYUC
"Caterpillar, Inc.",CAT
ConnectDER LLC,CDER
Cadenza Innovation,CDNZA
Centrosolar America,CENTRA
CERE,CERES
CertainTeed,CERTT
"CESC New Energy Technology Co., Ltd.",CESC
Chilicon Power,CHIL
"Chint New Energy Technology Co., Ltd.",CHINT
Chint Power,CHINT
Chint Power Systems America,CHINT
Chinaland Solar Energy,CHLSE
CHEN GUNES ENERJISI SANAYI VE TICARET LIMITED SIRKETI.,CHNGNS
Clearway Energy,CLEARW
"Clean Air Investments, LLC.",CLNA
Celestica International L. P.,CLS
"Contemporary Amperex Technology Co., Limited",CNAM
"Contemporary Nebula Technology Energy Co.,  Ltd.",CNNB
Convalt Manufacturing LLC,CNVLT
Copadata,COPAD
Crossroads Solar,CROSS
CarbonTRACK,CRTK
CSA Group Company,CSAG
Canadian Solar,CSIQ
"CSI Solar Co., Ltd.",CSIS
CW ENERJÄ° MÃœHENDÄ°SLÄ°K TÄ°CARET VE SANAYÄ° ANONÄ°M ÅžÄ°RKETÄ°,CWENR
CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ ANONİM ŞİRKETİ,CWENR
Changzhou Eging Photovoltaic Technology,CZEPT
Changzhou Nesl Solartech,CZNS
Darfon Electronics Corporation,DARF
Dcbel,DCBEL
DEHUI SOLAR POWER INC.,DEHUI
"Dehui Solar Power (Vietnam) Co.,Ltd",DEHUI
Delta Group,DELEL
DE SOLAR(S) PTE. LTD.,DESOL
Ningbo Deye Inverter Technology,DEYE
DEIF,DF
"Dongguan Lithium Valley Energy Co, Ltd",DGLTVE
"DONGGUAN SUNWORTH SOLAR ENERGY CO., LTD",DGSNWR
"Dongguan Zerun Co., Ltd",DGZE
Discover Energy Corp.,DISCE
"Dividend Solar, Inc.",DIVID
PT. Deltamas Solusindo,DLTMS
"Dyness Digital Energy Technology Co., LTD.",DNSS
Doosan Grid Tech,DOOS
Deviceroy,DROY
Destin Power,DSTN
DualSun SAS,DUALS
DuCal Solar Technology LLC,DUCAL
Duke Energy Corporation,DUK
Du Pont Apollo,DUPA
EcoFlow Inc.,ECOFL
Ecogy Energy,ECOG
Eco-Worthy,ECWR
"EndurEnergy Systems, Inc.",EES
EG4 Electronics LLC,EG4E
Element,ELEM
Elemize Technologies,ELEMIZ
Elin Energy (Sirius PV),ELIN
ELM FieldSight,ELMF
EliTe Solar Power HongKong Limited,ELTPWR
EMMVEE Photovoltaic Power Private Ltd.,EMMVEE
Empowered Energy Solutions,EMPOW
Emerson,EMR
"Energy America, LLC",ENAM
Energy Toolbase,ENERTB
Enphase Energy,ENPH
Enp Sonne Solar Technikk,ENPS
Energate Energy Inc.,ENRGT
Energate Enerji Ãœretim San. A.Åž.,ENRGT
Energate Enerji Üretim San. A.Ş.,ENRGT
Enersys,ENS
Enteligent,ENTEL
e-ON Batteries Inc.,EONB
Eoplly New Energy Technology,EOPNE
EPC Power,EPCP
East Penn Manufacturing Co.,EPNN
"Ergosun Holdings, LLC",ERGSN
Erus Energy,ERUS
ES Foundry Corp,ESFD
Taiwan Testing and Certification Center,ETC
Eternalplanet Energy,ETERN
Eaton,ETN
ET SOLAR POWER HONGKONG LIMITED,ETSO
ET Solar Industry,ETSO
ET Solar New Energy,ETSO
"EVE POWER CO., LTD.",EVEP
Exeltech,EXELT
Fermata,FERMAT
"Fengfan Co., Ltd. Power Supply Branch â€“ SPT",FFPWR
"Fengfan Co., Ltd. Power Supply Branch – SPT",FFPWR
"First Solar, Inc.",FIRSS
Flextronics,FLEXT
FnS Power Technology Inc,FNSP
Fortress Power,FORT
"Maitian Energy Co., Ltd. Wuxi Branch",FOXE
"FOXESS CO., LTD.",FOXSS
FreeVolt,FREEV
Freedom Forever,FRFE
Fronius International GmbH,FRINT
Franklin WH,FRWH
FS GREEN ENERGIES PRIVATE LIMITED,FSGRE
GAF,GAF
GAF Energy LLC,GAF
"GCL System Integration Technology Co., Ltd.",GCLSI
"Guangdong Felicity New Energy Co., Ltd.",GDFE
Guangdong Golden Glass Technologies,GDGGT
General Electric Company,GE
GermanSolar USA,GERSO
GermanSolar USA Inc.,GERSO
Gill Research & Development Limited,GILL
Ginlong Solis USA,GINL
Gintech Energy,GINTEK
Gintung Energy,GINTGE
Global Power Services LLC,GLPO
Geneverse Energy Inc.,GNNV
Generac Power Systems Inc,GNRC
Goldi Solar Private Limited,GOLDIS
Mercatus Inc,GOMERC
"Jiangsu GoodWe Power Supply Technology CO.,LTD.",GOODWE
"GoodWe Technologies Co., Ltd.",GOODWT
Solo,GOSOLO
Grape Solar,GRAPE
Greenlite Solar Canada,GREENL
Green Solutions,GREENS
Green Charge Networks LLC,GRENC
"Greensun Solar Energy Tech Co., Limited",GRESL
Grenzebach Envelon GmbH,GRNZB
Growatt New Energy,GRWT
G-Star Pte Ltd,GSTAR
"Gotion, Inc.",GTIO
Gautam Solar Pvt. Ltd.,GTMS
"Guangzhou Felicity Solar Technology Co., Ltd",GZFS
"Guangzhou Great Power Energy Storage Technology Co., Ltd",GZGPST
GuangZhou MeriTech Power Co Ltd,GZMTP
"HALEE, Inc",HALEE
"Hanersun Technology Co., Ltd.",HANER
"Hansol Technics Co., Ltd.",HANSOL
Hanwha Q-Cells,HANWH
Havasusolar,HAVA
Hengdian Group DMEGC Magnetics,HDGDM
Heilatech,HEILA
Heliox Energy,HELI
Heliene,HELIEN
Helios USA,HELIOS
"HD HYUNDAI ENERGY SOLUTIONS CO., LTD.",HMGE
"HINAESS TECH CO., LTD",HNAS
Hounen Solar America Inc.,HNNS
Holu Hou,HOLU
Horizon Power,HORIZ
Hoymiles Converter Technology,HOY
Hoymiles Power Electronics Inc.,HOY
Huawei Technologies Co. Ltd,HUAW
"Humless, LLC",HUML
"Hongyibo New Energy Technology (Shenzhen) Co., Ltd.",HYBE
"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HYMTF
Hyosung Corporation,HYOS
Hyperion Solar,HYPER
Hyperian Energy Inc.,HYPRN
"Huizhou Roypow Technology Co., Ltd",HZRPT
IBTS,IBTS
IGEN Corporation,IGEN
Illuminate USA LLC,ILLUM
"IMPERIAL STAR SOLAR(CAMBODIA) CO., LTD.",IMPRL
Inergysystems,INERG
Infiswift Solutions,INFIS
Intertek Group plc,INTERT
Iron Edison LLC,IRONE
Itron Inc,ITRI
"Japan Solar (Infini Co., Ltd.)",JAPAS
JA Solar,JASOL
Jetion Solar (China),JETIS
"Jetion Solar (China) Co.,Ltd.",JETIS
"Jinko Solar Co., Ltd",JINKO
Jackery Inc.,JKRY
"JinkoSolar Holding Co. , Ltd.",JKS
JOLYWOOD (TAIZHOU) SOLAR TECHNOLOGY CO LTD,JLYW
JMTHY,JMTHY
"Jiangsu Green Energy Power Technology Co., Ltd",JSGEP
"Jiangsu Runergy New Energy Technology Co., Ltd",JSRNE
Jiangsu Xiehang New Energy Intelligent Equipment Co. Ltd,JSXHNE
Juli New Energy,JULI
Jiangyin Hareon Power,JYHP
Jinzhou Jinmao Photovoltaic Technology,JZJPT
KACO New Energy,KACO
Kalkitech,KALK
KB Solar LLC,KBSO
"Kehua Hengsheng Co., Ltd.",KEHUA
Korea Electrotechnology Research Institute,KERI
Korea Testing Laboratory,KETL
Keysight Technologies,KEYS
King Solar,KINGS
"Kitu Systems, Inc.",KITU
KnGrid,KNGR
Kaneka Corporation,KNKA
komeri,KOME
KORE Power,KORE
KOSOL ENERGIE PVT. LTD.,KOSOL
Kostal,KOST
Kstar New Energy,KSTAR
Kowint Energy Inc.,KWNT
Kyrio Inc,KYRIO
La Solar LLC,LASOL
Lucid,LCID
LDK Solar,LDKS
Leaguer,LEAG
"LS Electric Co., Ltd.",LESL
LGCY,LGCY
LG Electronics Inc.,LGE
"LONGi Green Energy Technology Co., Ltd.",LGGE
LIGHT ENGINE ILUMINACAO S.A.,LGHTN
Lightway Green New Energy,LGNE
"LIGHT&HOPE ENERGY CO.,LTD.",LHE
Lion Energy,LION
Lite-On Technology Corporation,LITN
Liniotech,LNIO
LENERGY POWER INC,LNRG
Locus Energy,LOCS
LOF SOLAR CORP.,LOFS
"Leapton Energy Co., Ltd.",LPTN
Lithion Battery Inc.,LTHBT
LUMA Resources,LUMA
Lumian,LUMIA
Lumos,LUMOS
Lunar Energy,LUNAR
Lunna,LUNNA
Luxco,LUXCO
Luxor Solar,LUXOR
Luxpowertek,LUXP
"ShenZhen Lux Power technology Co., LTD",LUXPOW
MaCT-USA Inc,MACT
Mage Solar,MAGE
Mage Solar USA,MAGE
Magellan Power,MAGLN
MANGO POWER TECH INC.,MANGO
MAR SOLAR PANEL IMALATI VE ELEKTRIK URT. DAG. PRJ. HİZ. SAN. VE TİC. A.S.,MARSIE
"Mate Solar Co., Ltd.",MATE
Maxeon Solar Technologies Ltd.,MAXEON
"MECEN SOLAR VINA CO.,LTD",MCNSL
Midsummer AB,MDSM
Measurlogic Inc,MEASU
"Merlin Solar Technologies, Inc.",MERLIN
Meyer Burger (Industries) GmbH,MEYER
Magnus green solar LLC,MGNS
Miasole,MIASOL
MidNite Solar Inc,MIDN
Mission Solar Energy LLC,MISSON
Mitrex,MITREX
Mitsubishi Electric,MITSU
MK BATTERY,MKBT
MicroNOC Inc.,MNOC
Morningstar Corporation,MORNS
Moxa Inc,MOXA
MSquare Energy Pty Ltd,MSQRE
Mundra Solar Energy Limited,MUNDRA
Mundra Solar PV Ltd.,MUNDRA
naak inc.,NAAK
"Ningbo Victor Solar Technology Co., Ltd.",NBVCT
"New East Solar Energy (Cambodia) Co.,Ltd.",NEAST
NEC Energy Solutions Inc,NECES
NeoVolta,NEOV
Nevados Engineering,NEVA
Next Energy Alliance LLC,NEXTE
"NEXTracker, Inc",NEXTR
NHS Energia do Seu Jeito,NHSE
Nidec,NIDEC
NovaTech Automation,NOVAT
Northern Electric Power,NPOW
Energizer Solar,NRGZR
Nuuko Solar GmbH,NUKO
PT. NUSA SOLAR INDONESIA,NUSA
Nuvation,NUVAT
"Novele, Inc.",NVEL
Nuvve Company,NVVE
Obvius,OBVI
Open Energy Solutions,OESI
"Omnidian, Inc.",OMNI
Omron,OMRNY
ONYX SOLAR ENERGY S.L.,ONYX
Opal-RT Technologies Inc,OPALRT
Openegrid,OPENE
Optio Pty Ltd,OPTIO
Orb Energy Private Limited,ORB
Open Systems International Inc,OSSI
OutBack Power,OUTB
"Oxford Intelligent Energy Co., Ltd.",OXIEN
Oztek Corp,OZTEK
Parker Hannifin,PARK
Pason Systems Corp,PASO
Panasonic Corporation of North America,PCRFY
PcVue Solutions Ltd,PCVU
"Peaxy, Inc.",PEAX
PEIMAR,PEIMAR
Perfect Source Technology,PERFS
Perlight Solar,PERL
PES Solar,PES
Pacific Gas & Electric Co.,PGE
Philadelphia Solar,PHILS
Phoenix Contact Inc,PHOE
"Phono Solar Technology Co., Ltd.",PHONO
"Phono Solar Technology Co.,Ltd.",PHONO
Photon Brothers,PHOT
PhaseGreen Technology Inc.,PHZG
Pika Energy,PIKAEN
PT. JAYA ELECTRICAL ENERGY,PJYA
Polarium Inc.,PLRM
pomcube,POMC
PowerDash Inc,POWD
PowerOwners LLC,POWO
PPL Corporation,PPL
"Prism Solar Technologies, Inc.",PRISM
Pristine Sun LLC,PRIST
PREMIER ENERGIES PHOTOVOLTAIC PRIVATE Ltd.,PRMIR
The Pro Companies (Sunpro),PROCOS
PT IDN SOLAR TECH,PTIDN
PT LESSO NEW ENERGY,PTLSS
Power Center,PWRC
PowerShingle LLC,PWRSHN
"PYLON TECHNOLOGIES CO.,LTD",PYLN
Qcells North America,QCELL
QualityLogic Inc,QUALOG
RainWise Inc.,RAINW
Rare Manufacturing,RAREM
RAYZON SOLAR PRIVATE LIMITED,RAYZON
RCT Power Energy Technology Corporation,RCT
"Jiangsu RCT Power Energy Technology Co., Ltd",RCTP
Recom,RECOM
ReCreate,RECRT
RECOM SILLIA,RECSIL
REC Solar,RECSO
Rectify Solar,RECTI
Redback Operations Pty Ltd,REDBA
REFU Elektronik GmbH,REFU
RENAC Power,RENAC
Renesola America,RENES
Renon Power Technology Inc.,RENON
"REPT BATTERO Energy Co., Ltd.",REPBT
Resun Solar Inc.,RESN
Rhombus Energy,RHOMB
"Risen Energy Co., Ltd.",RISEN
RNG International Inc.,RNGNT
RUNHOOD POWER INC.,RNHD
RSI Holding,RSI
Sunrun,RUN
Saatvik Green Energy (P) Limited,SAATVK
"Guangzhou Sanjing Electric Co., Ltd.",SAJE
"Suzhou Akcome Optronics Science & Technology Co., Ltd",SAKOP
SANYO ELECTRIC CO LTD OF PANASONIC GROUP,SANYO
SA Power Networks,SAPOW
Solarbest Energy-Tech (Zhejiang),SBETZJ
SCE,SCEC
"ShanDong Sacred Sun Power Sources Co., Ltd",SDSSP
SolarEdge Technologies Inc,SEDG
