Manufacturer Name;Brand1;Model Number;Technology;Description;UL 1973 Certification Certifying Entity;UL 1973 Certification Certificate Date;UL 1973 Certification Edition of UL 1973;Nameplate Energy Capacity (kWh);Maximum Continuous Discharge Rate2 (kW);Manufacturer Declared Roundtrip Efficiency (%, Ac-AC)1;Certified JA12 Control  Strategies1;Declaration for JA12 Submitted1;Notes;CEC Listing Date;Last Update
Alpha ESS Co., Ltd.;;SMILE-BAT-8.2PHA;Lithium Iron Phosphate;9.8 kW, 8.2kWh lithium iron battery;TUV Rheinland of North America;02.06.2021;Ed. 2 : 2018;8.2;9.8;No Information Submitted;No Information Submitted;N;;21.07.2021;
Altenergy Power System Inc.;;APbattery-48V/5.76kWh;Lithium Iron Phosphate;5 kW, 5.76 kWh lithium iron phosphate battery;UL;02.02.2022;Ed. 2 : 2018;5.76;5;No Information Submitted;No Information Submitted;N;;11.07.2023;
Altenergy Power System Inc.;;APbattery-51.2V/10.24kWh-U(N=1);Lithium Iron Phosphate;6.14 kW, 10.24 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;10.24;6.14;No Information Submitted;No Information Submitted;N;;11.02.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/20.48kWh-U(N=2);Lithium Iron Phosphate;12.28 kW, 20.48 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;20.48;12.28;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/30.72kWh-U(N=3);Lithium Iron Phosphate;18.42 kW, 30.72 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;30.72;18.42;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/40.96kWh-U(N=4);Lithium Iron Phosphate;24.56 kW, 40.96 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;40.96;24.56;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/51.20kWh-U(N=5);Lithium Iron Phosphate;30.7 kW, 51.2 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;51.2;30.7;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/61.44kWh-U(N=6);Lithium Iron Phosphate;36.84 kW, 61.44 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;61.44;36.84;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/71.68kWh-U(N=7);Lithium Iron Phosphate;42.98 kW, 71.68 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;71.68;42.98;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
Altenergy Power System Inc.;;APbattery-51.2V/81.92kWh-U(N=8);Lithium Iron Phosphate;49.12 kW, 81.92 kWh, lithium iron phosphate battery;CSA;29.12.2025;Ed. 3 : 2022;81.92;49.12;No Information Submitted;No Information Submitted;N;;21.03.2025;02.02.2026
AltGrid Power LLC;;VB5148V;Lithium Iron Phosphate;"5.12 KW, 5.12KWH Stackable Lithium
Iron Phosphate Battery";UL;11.09.2023;Ed. 3 : 2022;5.12;5.12;No Information Submitted;No Information Submitted;N;;02.01.2024;
Anker Innovations Limited;;X1-B5-H;Lithium Ion;3 kW, 5kWh lithium-ion battery;CSA Group;05.02.2023;Ed. 3 : 2022;5;3;No Information Submitted;No Information Submitted;N;;11.03.2024;
Anker Innovations Limited;;A17E1141-85;Lithium Ion;8 kW, 6.144 kWh lithium-ion battery;SGS;02.09.2025;Ed. 3 : 2022;6.144;8;No Information Submitted;No Information Submitted;N;;13.10.2025;
ARK Battery LLC;;16IFR51.2-100-Y;Lithium Iron Phosphate;5.12 kW, 5.12 kWh, lithium iron phosphate battery;SGS;04.11.2020;Ed. 2 : 2018;5.12;5.12;No Information Submitted;No Information Submitted;N;;21.06.2022;
ATI-Watt;;YT-B5120WL2;Lithium Iron Phosphate;5.12 kW, 5.12 kWh lithium iron phosphate battery;SGS;21.07.2023;Ed. 2 : 2018;5.12;5.12;No Information Submitted;No Information Submitted;N;;23.10.2023;
